No,ID,additives,qua.uM,time.h,time.fac,libraryID,name
1,A1,Control,0,6,0,PR2056_01A0033_H1,Control.0.6
2,A2,cAQ-mBen,1,6,0,PR2056_02A0034_H1,cAQ_mBen.1.6
3,A3,AQ-ac,1,6,0,PR2056_03A0035_H1,AQ_ac.1.6
4,A4,Control,0,24,1,PR2056_04A0036_H1,Control.0.24
5,A5,cAQ-mBen,1,24,1,PR2056_05A0037_H1,cAQ_mBen.1.24
6,A6,AQ-ac,1,24,1,PR2056_06A0038_H1,AQ_ac.1.24
7,A7,cAQ-mBen,5,6,0,PR2056_07A0039_H1,cAQ_mBen.5.6
8,A8,cAQ-mBen,5,24,1,PR2056_08A0040_H1,cAQ_mBen.5.24
9,B1,Control,0,6,0,PR2056_09A0041_H1,Control.0.6
10,B2,cAQ-mBen,1,6,0,PR2056_10A0042_H1,cAQ_mBen.1.6
11,B3,AQ-ac,1,6,0,PR2056_11A0043_H1,AQ_ac.1.6
12,B4,Control,0,24,1,PR2056_12A0044_H1,Control.0.24
13,B5,cAQ-mBen,1,24,1,PR2056_13A0045_H1,cAQ_mBen.1.24
14,B6,AQ-ac,1,24,1,PR2056_14A0046_H1,AQ_ac.1.24
15,B7,cAQ-mBen,5,6,0,PR2056_15A0047_H1,cAQ_mBen.5.6
16,B8,cAQ-mBen,5,24,1,PR2056_16A0048_H1,cAQ_mBen.5.24
